Drug Regimen,Timepoint,Tumor Volume (mm3),Metastatic Sites,Age_months,Weight (g)
Capomulin,0,45.0,0.0,14.04,20.12
Capomulin,5,44.2660864152,0.16,14.04,20.12
Capomulin,10,43.084290581999994,0.32,14.04,20.12
Capomulin,15,42.064317346250014,0.375,13.666666666666666,20.0
Capomulin,20,40.716325321739134,0.6521739130434783,13.304347826086957,19.782608695652176
Capomulin,25,39.93952782681817,0.8181818181818182,13.181818181818182,19.90909090909091
Capomulin,30,38.76933928863637,1.0909090909090908,13.181818181818182,19.90909090909091
Capomulin,35,37.816838882272734,1.1818181818181819,13.181818181818182,19.90909090909091
Capomulin,40,36.958000811428576,1.380952380952381,12.80952380952381,19.857142857142858
Capomulin,45,36.236113800000005,1.4761904761904763,12.80952380952381,19.857142857142858
Ceftamin,0,45.0,0.0,12.8,27.4
Ceftamin,5,46.50305095857142,0.38095238095238093,12.80952380952381,27.38095238095238
Ceftamin,10,48.285125216,0.6,13.2,27.4
Ceftamin,15,50.09405489368421,0.7894736842105263,13.210526315789474,27.263157894736842
Ceftamin,20,52.15704850444446,1.1111111111111112,13.777777777777779,27.38888888888889
Ceftamin,25,54.28767405777778,1.5,13.777777777777779,27.38888888888889
Ceftamin,30,56.76951721,1.9375,13.625,27.25
Ceftamin,35,58.827547826428564,2.0714285714285716,13.0,27.5
Ceftamin,40,61.46789544714287,2.357142857142857,13.0,27.5
Ceftamin,45,64.13242133615384,2.6923076923076925,13.538461538461538,27.615384615384617
Infubinol,0,45.0,0.0,16.4,27.32
Infubinol,5,46.541246737600005,0.28,16.4,27.32
Infubinol,10,49.40390857095239,0.6666666666666666,15.666666666666666,27.333333333333332
Infubinol,15,51.29639655619047,0.9047619047619048,15.666666666666666,27.333333333333332
Infubinol,20,53.197690935000004,1.05,15.65,27.35
Infubinol,25,55.71525236222222,1.2777777777777777,15.222222222222221,27.055555555555557
Infubinol,30,58.299397209411765,1.588235294117647,14.764705882352942,27.11764705882353
